index,file_name,model_valence,model_arousal,top_profiles
97,Yeat — On tha line [Official Music Video] [0cdc2026].m4a,4.5161,5.1800,"dark:0.699(affect=0.708,tag=0.663);focus:0.683(affect=0.854,tag=0.000);romantic:0.637(affect=0.740,tag=0.224)"
98,Yeat — On tha line [Official Music Video].m4a,4.5161,5.1800,"dark:0.699(affect=0.708,tag=0.663);focus:0.683(affect=0.854,tag=0.000);romantic:0.637(affect=0.740,tag=0.224)"
99,"zxcursed — zxcursed, mupp - haunt.m4a",6.4330,7.4537,"energetic:0.889(affect=0.898,tag=0.853);party:0.850(affect=0.862,tag=0.799);happy:0.800(affect=0.826,tag=0.698)"
100,вышел покурить - Topic — вопрос.mp4,5.4463,4.8446,"romantic:0.786(affect=0.826,tag=0.628);focus:0.776(affect=0.883,tag=0.349);calm:0.636(affect=0.721,tag=0.296)"
101,вышел покурить - Topic — время.mp4,4.3369,4.6345,"focus:0.713(affect=0.891,tag=0.000);melancholic:0.674(affect=0.676,tag=0.667);dark:0.664(affect=0.673,tag=0.626)"
102,вышел покурить - Topic — если станет плохо.mp4,4.4382,3.9272,"focus:0.796(affect=0.943,tag=0.208);melancholic:0.729(affect=0.706,tag=0.822);calm:0.718(affect=0.811,tag=0.346)"
103,вышел покурить - Topic — засыпай.mp4,4.6215,3.8421,"focus:0.863(affect=0.960,tag=0.471);calm:0.776(affect=0.819,tag=0.601);melancholic:0.713(affect=0.696,tag=0.779)"
104,вышел покурить - Topic — комната.mp4,3.8974,3.6490,"focus:0.764(affect=0.902,tag=0.208);calm:0.741(affect=0.825,tag=0.402);melancholic:0.731(affect=0.760,tag=0.618)"
105,СЕРЕГА ПИРАТ МУЗЫКА — Серега пират - извини сегодня праздник.m4a,5.7265,5.7711,"romantic:0.807(affect=0.819,tag=0.758);energetic:0.725(affect=0.738,tag=0.672);happy:0.653(affect=0.723,tag=0.373)"
106,†REDZED† — REDZED x TSUNAMI J. - HEAVEN (Lyrics Video).mp4,5.6074,5.8446,"romantic:0.775(affect=0.807,tag=0.649);party:0.733(affect=0.716,tag=0.805);happy:0.710(affect=0.717,tag=0.682)"
107,デーモンAstari — deko - PHANTASY STAR ONLINE ft. Yameii (Official Music Video).m4a,5.6091,5.2595,"romantic:0.782(affect=0.831,tag=0.586);focus:0.675(affect=0.844,tag=0.000);party:0.652(affect=0.676,tag=0.556)"
